name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
"Denpasar,2025-09-08T00:00:00,27,29.5,23,78.77,0.1,100,rain,0,0,27.7,14.8,120,1013,50,10,0,0,0,10,""Rain, Partially cloudy"",rain,WADD"
"Denpasar,2025-09-08T01:00:00,26,26,24,88.75,0.1,100,rain,0,0,27.4,18.4,130,1013,88,10,0,0,0,10,""Rain, Partially cloudy"",rain,WADD"
"Denpasar,2025-09-08T02:00:00,26,26,23,83.56,0.1,100,rain,0,0,27.4,11.2,140,1012,88,10,0,0,0,10,""Rain, Partially cloudy"",rain,WADD"
"Denpasar,2025-09-08T03:00:00,26,26,23,83.56,0.1,100,rain,0,0,27.7,16.6,130,1012,88,10,0,0,0,10,""Rain, Partially cloudy"",rain,WADD"
"Denpasar,2025-09-08T04:00:00,26,26,23,83.56,0.1,100,rain,0,0,27.4,18.4,130,1012,50,10,0,0,0,10,""Rain, Partially cloudy"",rain,WADD"
"Denpasar,2025-09-08T05:00:00,26,26,23,83.56,0.1,100,rain,0,0,27,20.5,130,1012,50,10,0,0,0,10,""Rain, Partially cloudy"",rain,WADD"
"Denpasar,2025-09-08T06:00:00,26,26,23,83.56,0.1,100,rain,0,0,26.6,13,110,1012,50,10,0,0,0,10,""Rain, Partially cloudy"",rain,WADD"
"Denpasar,2025-09-08T07:00:00,26,26,24,88.75,0.1,100,rain,0,0,27.4,13,120,1013,50,10,16.3,0.1,0,10,""Rain, Partially cloudy"",rain,WADD"
"Denpasar,2025-09-08T08:00:00,27,30,24,83.67,0.1,100,rain,0,0,27.7,20.5,120,1013,50,10,169.1,0.6,2,10,""Rain, Partially cloudy"",rain,WADD"
"Denpasar,2025-09-08T09:00:00,27,29.5,23,78.77,0.1,100,rain,0,0,28.8,18.4,110,1013,50,10,232.9,0.8,2,10,""Rain, Partially cloudy"",rain,WADD"
Denpasar,2025-09-08T10:00:00,28,31.1,23,74.29,0,0,rain,0,0,29.5,16.6,110,1013,50,10,456.4,1.6,5,10,Partially cloudy,partly-cloudy-day,WADD
"Denpasar,2025-09-08T11:00:00,28,31.1,23,74.29,0.1,100,rain,0,0,30.6,18.4,120,1013,88,10,619.8,2.2,6,3,""Rain, Partially cloudy"",rain,WADD"
"Denpasar,2025-09-08T12:00:00,28,31.8,24,78.91,0.1,100,rain,0,0,31.7,20.5,130,1013,50,10,722,2.6,7,3,""Rain, Partially cloudy"",rain,WADD"
Denpasar,2025-09-08T13:00:00,28,31.8,24,78.91,0,0,rain,0,0,31.7,20.5,140,1012,50,10,709,2.6,7,10,Partially cloudy,partly-cloudy-day,WADD
"Denpasar,2025-09-08T14:00:00,26.6,26.6,22.2,76.83,0.1,100,rain,0,0,32.8,24.5,141.6,1012,35.6,24.1,614.5,2.2,6,10,""Rain, Partially cloudy"",rain,remote"
"Denpasar,2025-09-08T15:00:00,29,33.5,24,74.46,0.1,100,rain,0,0,36,25.9,140,1011,50,10,618,2.2,6,10,""Rain, Partially cloudy"",rain,WADD"
"Denpasar,2025-09-08T16:00:00,28,31.8,24,78.91,0.1,100,rain,0,0,36.4,33.5,150,1011,88,10,443.2,1.6,4,10,""Rain, Partially cloudy"",rain,WADD"
"Denpasar,2025-09-08T17:00:00,27,30,24,83.67,0.1,100,rain,0,0,44.6,31.7,150,1011,88,10,275.1,1,3,10,""Rain, Partially cloudy"",rain,WADD"
"Denpasar,2025-09-08T18:00:00,27,30,24,83.67,0.3,100,rain,0,0,34.6,29.5,140,1011,88,10,97.8,0.4,1,10,""Rain, Partially cloudy"",rain,WADD"
"Denpasar,2025-09-08T19:00:00,27,30,24,83.67,0.2,100,rain,0,0,33.5,29.5,150,1011,88,10,2,0,0,10,""Rain, Partially cloudy"",rain,WADD"
"Denpasar,2025-09-08T20:00:00,27,30,24,83.67,0.3,100,rain,0,0,32,27.7,150,1012,88,10,0,0,0,3,""Rain, Partially cloudy"",rain,WADD"
"Denpasar,2025-09-08T21:00:00,27,30,24,83.67,0.3,100,rain,0,0,30.6,29.5,150,1013,50,10,0,0,0,10,""Rain, Partially cloudy"",rain,WADD"
"Denpasar,2025-09-08T22:00:00,27,30,24,83.67,0.2,100,rain,0,0,29.9,25.9,150,1013,50,10,0,0,0,10,""Rain, Partially cloudy"",rain,WADD"
"Denpasar,2025-09-08T23:00:00,27,30,24,83.67,0.2,100,rain,0,0,29.2,29.5,150,1013,50,10,0,0,0,10,""Rain, Partially cloudy"",rain,WADD"
"Denpasar,2025-09-09T00:00:00,27,30,24,83.67,0.2,100,rain,0,0,29.2,25.9,150,1013,50,10,0,0,0,10,""Rain, Partially cloudy"",rain,WADD"
"Denpasar,2025-09-09T01:00:00,26,26,24,88.75,0.2,100,rain,0,0,29.2,29.5,140,1013,50,10,0,0,0,10,""Rain, Partially cloudy"",rain,WADD"
"Denpasar,2025-09-09T02:00:00,26,26,24,88.75,0.4,100,rain,0,0,28.8,25.9,150,1012,88,10,0,0,0,10,""Rain, Partially cloudy"",rain,WADD"
"Denpasar,2025-09-09T03:00:00,25,25,24,94.19,0.3,100,rain,0,0,28.4,20.5,140,1012,88,5,0,0,0,10,""Rain, Partially cloudy"",rain,WADD"
"Denpasar,2025-09-09T04:00:00,25,25,25,100,0.3,100,rain,0,0,28.1,22.3,150,1012,88,10,0,0,0,10,""Rain, Partially cloudy"",rain,WADD"
"Denpasar,2025-09-09T05:00:00,25,25,25,100,0.5,100,rain,0,0,26.6,16.6,150,1012,88,10,0,0,0,10,""Rain, Partially cloudy"",rain,WADD"
"Denpasar,2025-09-09T06:00:00,26,26,25,94.23,0.7,100,rain,0,0,26.3,18.4,140,1012,88,10,0,0,0,10,""Rain, Partially cloudy"",rain,WADD"
"Denpasar,2025-09-09T07:00:00,25,25,25,100,1.1,100,rain,0,0,28.4,16.6,150,1012,88,10,12.4,0,0,10,""Rain, Partially cloudy"",rain,WADD"
"Denpasar,2025-09-09T08:00:00,25,25,25,100,1.5,100,rain,0,0,29.2,25.9,160,1013,88,6,80.6,0.3,1,10,""Rain, Partially cloudy"",rain,WADD"
"Denpasar,2025-09-09T09:00:00,26,26,25,94.23,2.8,100,rain,0,0,29.5,24.1,150,1013,88,10,85.7,0.3,1,10,""Rain, Partially cloudy"",rain,WADD"
